Country,total_revenue
United Kingdom,7285024.643999841
Netherlands,285446.3400000001
EIRE,265262.46000000014
Germany,228678.40000000017
France,208934.31000000008
Australia,138453.81000000003
Spain,61558.55999999999
Switzerland,56443.949999999975
Belgium,41196.34
Sweden,38367.83
Japan,37416.37000000001
Norway,36165.439999999995
Portugal,33375.84000000001
Finland,22546.080000000005
Singapore,21279.29
Channel Islands,20440.540000000005
Denmark,18955.340000000004
Italy,17483.24
Cyprus,13502.85
Austria,10198.679999999998
Poland,7334.65
Israel,7215.84
Greece,4760.5199999999995
Iceland,4310.0
Canada,3666.3800000000006
USA,3580.39
Malta,2725.5900000000006
Unspecified,2660.7699999999995
United Arab Emirates,1902.28
Lebanon,1693.8799999999999
Lithuania,1661.06
European Community,1300.25
Brazil,1143.6
RSA,1002.3100000000001
Czech Republic,826.74
Bahrain,548.4
Saudi Arabia,145.92
